user_id,timestamp,group,converted
851104,2017-01-21,A,0
804228,2017-01-12,A,0
661590,2017-01-11,B,0
853541,2017-01-08,B,0
864975,2017-01-21,A,1
936923,2017-01-10,A,0
679687,2017-01-19,B,1
719014,2017-01-17,A,0
817355,2017-01-04,B,1
839785,2017-01-15,B,1
929503,2017-01-18,B,0
834487,2017-01-21,B,0
803683,2017-01-09,B,0
944475,2017-01-22,B,0
718956,2017-01-22,B,0
644214,2017-01-22,A,1
847721,2017-01-17,A,0
888545,2017-01-08,B,1
650559,2017-01-24,A,0
935734,2017-01-17,A,0
740805,2017-01-12,B,0
759875,2017-01-09,B,0
767017,2017-01-12,B,0
793849,2017-01-23,B,0
905617,2017-01-20,B,0
746742,2017-01-23,A,0
892356,2017-01-05,B,1
773302,2017-01-12,B,0
913579,2017-01-24,A,1
736159,2017-01-06,B,0
690284,2017-01-13,A,0
826115,2017-01-05,B,0
875124,2017-01-05,B,1
931013,2017-01-07,B,0
710349,2017-01-11,A,0
677533,2017-01-23,A,0
831737,2017-01-11,A,1
648583,2017-01-19,B,0
728086,2017-01-03,B,0
870163,2017-01-02,B,0
771087,2017-01-16,A,0
739414,2017-01-03,B,0
896163,2017-01-22,A,0
862225,2017-01-08,A,1
939593,2017-01-05,A,0
702260,2017-01-18,A,0
943635,2017-01-22,B,0
800436,2017-01-20,B,0
698590,2017-01-23,B,0
830513,2017-01-12,B,0
670941,2017-01-05,A,0
850231,2017-01-18,A,1
916511,2017-01-22,B,0
897174,2017-01-17,B,0
906999,2017-01-22,B,0
685794,2017-01-20,A,0
757313,2017-01-09,B,0
714733,2017-01-03,A,0
710967,2017-01-10,A,0
680201,2017-01-11,A,0
790863,2017-01-19,A,0
717595,2017-01-23,A,0
779854,2017-01-11,A,0
916307,2017-01-19,A,0
731611,2017-01-24,A,0
742910,2017-01-07,B,0
897656,2017-01-08,A,0
834137,2017-01-24,A,1
791703,2017-01-05,A,0
850190,2017-01-10,A,0
812235,2017-01-11,A,0
729613,2017-01-12,A,0
817936,2017-01-03,B,0
776669,2017-01-15,B,0
640693,2017-01-19,B,0
781060,2017-01-13,B,0
